transaction_uuid,transaction_timestamp,transaction_type,source_amount,source_currency,destination_amount,destination_currency,fee_amount,fee_currency,currency_pair,exchange_rate
c8a37a52-6a82-494d-b554-a0d7033ed3f6,2015-08-06T12:27:50+10:00,buy,300.00,GBP,1.64730714,BTC,,,BTC/GBP,182.1154
fc4c86b5-4abb-4280-8aec-53fc2bb186eb,2015-08-06T12:27:51+10:00,sell,0.05271087,BTC,20.00,AUD,,,BTC/AUD,379.4284
7aae587b-51a6-4284-aa54-3b5c326cec29,2015-08-06T12:29:48+10:00,buy,200.00,USD,0.70320323,BTC,,,BTC/USD,284.4128
7a8987b5-5d05-4450-ab80-dfa36cf1ae0c,2015-08-06T12:29:51+10:00,sell,3.00000000,BTC,766.75,EUR,,,BTC/EUR,255.5863
a5e38e61-99b9-464d-8bd3-3814eac42946,2015-08-06T13:31:42+10:00,sell,1.00000000,BTC,381.03,AUD,3.81,AUD,BTC/AUD,381.039
dca36afc-b784-48d6-be40-28420570d099,2015-08-06T13:32:56+10:00,sell,0.10000000,BTC,38.09,AUD,0.38,AUD,BTC/AUD,380.9894
2b035504-ae45-4853-9ac4-aa87fa07a54d,2015-08-06T13:35:12+10:00,sell,0.10000000,BTC,38.06,AUD,0.38,AUD,BTC/AUD,380.632
f5299f9a-ff6c-4d9d-afa3-b54311937035,2015-08-06T13:39:37+10:00,sell,0.10000000,BTC,38.06,AUD,0.38,AUD,BTC/AUD,380.6026
1bc72bc5-9700-4bb2-90a3-f80d3a0a1c69,2015-08-06T13:45:05+10:00,sell,0.10000000,BTC,38.05,AUD,0.38,AUD,BTC/AUD,380.5058
5df569fc-16f8-4ada-82b9-9958016661c7,2015-08-06T13:45:28+10:00,sell,0.10000000,BTC,38.05,AUD,0.38,AUD,BTC/AUD,380.5429
ed10abf3-2380-420d-8a0f-7f3a6299230b,2015-08-06T13:46:40+10:00,sell,0.10000000,BTC,38.05,AUD,0.38,AUD,BTC/AUD,380.5893
f6d14caa-3cca-493e-a322-5fb17abd653c,2015-08-06T13:47:03+10:00,sell,1.00000000,BTC,380.67,AUD,3.81,AUD,BTC/AUD,380.6784
d7cd6288-483d-4777-baf5-55ee4a26adf3,2015-08-06T13:50:32+10:00,sell,0.11822682,BTC,45.00,AUD,,,BTC/AUD,380.6243
8426a1b1-2000-41a2-bca7-3f1bd738d2bc,2015-08-13T01:16:25+10:00,sell,1.00000000,BTC,367.62,AUD,3.68,AUD,BTC/AUD,367.6249
eb1f086a-6ee7-43d5-8741-e4569534556d,2015-08-17T15:44:02+10:00,sell,0.10000000,BTC,35.37,AUD,0.35,AUD,BTC/AUD,353.7008
3a5618a6-ca7a-499a-9188-85604e821ce9,2015-08-17T15:44:22+10:00,buy,10.00,AUD,0.02771169,BTC,0.00055423,BTC,BTC/AUD,360.8585
82d2ede6-4192-4330-90b5-d1a12b2178b2,2015-08-17T15:45:11+10:00,sell,0.10000000,BTC,35.37,AUD,0.35,AUD,BTC/AUD,353.7092
d2b75389-79a0-485f-ab89-1bdec06c2705,2015-08-17T15:47:04+10:00,sell,0.10000000,BTC,16.66,GBP,,,BTC/GBP,166.6848
6891b2ce-c0a5-4c41-9895-fd2bdae6e423,2015-08-17T15:53:43+10:00,sell,0.10000000,BTC,23.50,EUR,,,BTC/EUR,235.0755
820848f8-b4ac-4b19-848d-2c035f6a74c3,2015-08-17T15:53:58+10:00,sell,0.10000000,BTC,35.34,AUD,0.35,AUD,BTC/AUD,353.4732
1b04c175-aac9-4b65-a35b-60661b3da6d6,2015-09-23T16:59:35+10:00,sell,1.00000000,BTC,333.41,AUD,3.33,AUD,BTC/AUD,333.4157
8ef85c4d-e58f-4f30-b6ff-33d01059eb7b,2015-09-23T19:55:21+10:00,sell,1.00000000,BTC,330.45,AUD,3.30,AUD,BTC/AUD,330.4572
bb0a9ace-85e9-402f-b233-4b9a0e791389,2015-09-26T22:09:56+10:00,buy,1.00,AUD,0.00292653,BTC,,,BTC/AUD,341.7013
a2690918-1857-4508-ae6a-444939b9be0f,2016-01-04T19:22:20+11:00,buy,"12,345.24",AUD,20.00000000,BTC,246.90,AUD,BTC/AUD,617.2619
08652e81-cd9a-4c2a-a17e-c8050b6cb27e,2016-01-04T19:34:34+11:00,sell,30.00000000,BTC,"18,157.88",AUD,181.58,AUD,BTC/AUD,605.2628
3f9db132-7906-499c-bb76-42552349f587,2016-01-05T12:08:57+11:00,buy,"10,000.00",AUD,16.08546141,BTC,0.32170923,BTC,BTC/AUD,621.6794
38aecab3-b9d0-4bbd-b549-532cc024f315,2016-04-11T17:36:09+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
f5f283bd-0a44-4482-bb75-c23470dd65d5,2016-04-11T17:49:31+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
0f626dc8-4391-4740-b842-8ab0dbd91aee,2016-04-11T18:00:37+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
659a571c-d549-4a35-8771-ca6735a71a7e,2016-04-11T18:04:48+10:00,sell,1.00000000,BTC,545.17,AUD,5.45,AUD,BTC/AUD,545.1758
12009f66-482b-4ad7-9128-44ffbe88de5a,2016-04-11T18:07:54+10:00,sell,0.10000000,BTC,28.64,GBP,,,BTC/GBP,286.4153
5e0df405-13d2-4ac1-9680-79c2d921e287,2016-04-11T18:08:09+10:00,sell,1.83427071,BTC,"1,000.00",AUD,0.01834271,BTC,BTC/AUD,545.1758
